Source Name,RA (HMS),Dec (DMS)
J1622-0315,16:22:59.6285,-03:15:37.328
J1622-3751,16:22:04.58,-37:51:13.9
J1622-4332,16:22:45.468,-43:32:28.2
J1622-4347,16:22:30.060,-43:47:21.4
J1622-4802,16:22:47.19,-48:02:13.1
J1622-4845,16:22:05.45,-48:46:29
J1622-4944,16:22:37.5,-49:44:30
J1622-4950,16:22:44.80,-49:50:54.4
J1622-6617,16:22:03.6681,-66:17:16.978
J1623-0841,16:23:42.6827,-08:41:36.6
J1623-0908,16:23:17.6599,-09:08:48.733
J1623-2631,16:23:38.2218,-26:31:53.769
J1623-4256,16:23:48.291,-42:56:52.6
J1623-4949,16:23:54.80,-49:49:4
J1623-5005,16:23:04.11,-50:05:15.1
J1624+5850,16:24:00.964,+58:50:15.77
J1624+8643,16:24:32.70581737,+86:43:13.1992151
J1624-39,16:24:25,-39:51:00
J1624-4041,16:24:09.927,-40:41:29.7
J1624-4411,16:24:21.361,-44:11:33.8
J1624-4613,16:24:18.7,-46:13:02
J1624-4721,16:24:54.89,-47:21:27
J1625-0021,16:25:10.3579,-00:21:28.960
J1625-4048,16:25:10.33,-40:48:21.5
J1625-4904,16:25:18.05,-49:04:33.6
J1625-4913,16:25:16.41,-49:13:44.6
J1626-44,16:27:00,-44:22
J1626-4537,16:26:48.98,-45:37:25.6
J1626-4807,16:26:42.5,-48:07:54
J1626-6621,16:26:06.851,-66:21:15.27
J1627+1419,16:27:18.759,+14:19:20.7
J1627+3219,16:27:56.4,+32:19:39
J1627-4706,16:27:28.75,-47:06:50.2
J1627-4845,16:27:10.34,-48:45:08
J1627-49,16:27:42,-49:54
J1627-51,16:27:30,-51:08
J1627-5547,16:27:21.08,-55:47:52.4
J1627-5936,16:27:52.59,-59:36:55.3
J1628+4406,16:28:50.30994669,+44:06:42.60453527
J1628-3205,16:28:07.00,-32:05:48.9
J1628-4804,16:28:26.83,-48:04:59
J1628-4828,16:28:30.9,-48:28:42
J1629+33,16:29,+33:00:00
J1629-3636,16:29:35.81,-36:36:13
J1629-3825,16:29:14.618,-38:25:29.3
J1629-6902,16:29:08.7706,-69:02:45.294
J1630+3550,16:30:35.94666,+35:50:42.433
J1630+3734,16:30:36.46693,+37:34:42.097
J1630-2609,16:30:28.99,-26:09:47
J1630-4719,16:30:02.47,-47:19:42
J1630-4733,16:30:37.47,-47:33:05.0
J1631-1612,16:31:52.47,-16:12:52.0
J1631-4155,16:31:18.33,-41:55:03.7
J1632-1013,16:32:54.20,-10:13:18
J1632-4509,16:32:14.00,-45:09:09
J1632-4621,16:32:49.813,-46:21:48.6
J1632-4757,16:32:16.66,-47:57:34.5
J1632-4818,16:32:39.70,-48:18:53.8
J1633-2009,16:33:55.30,-20:10:09
J1633-4453,16:33:47.048,-44:53:07.8
J1633-4805,16:33:05.4,-48:05:36
J1633-5015,16:33:00.0861,-50:15:08.358
J1634+02,16:34:50,+02:34:03
J1634-4229,16:34:14.665,-42:29:44.3
J1634-49,16:34:30,-49:52
J1634-5107,16:34:04.99,-51:07:45.6
J1634-5640,16:34:19.17,-56:40:48.7
J1635+2332,16:35:05.36,+23:32:23.2
J1635+2418,16:35:25.78025817,+24:18:47.31182088
J1635-1511,16:35:47.36,-15:11:52
J1635-4513,16:35:55.4,-45:13:27
J1635-4735,16:35:51.844,-47:35:23.31
J1635-4944,16:35:55.4,-49:44:36
J1635-5954,16:35:09.08,-59:54:41
J1636-2614,16:36:11.506,-26:14:47.0
J1636-4440,16:36:16.53,-44:40:25
J1636-4803,16:36:32.0,-48:03:55
J1636-4933,16:36:55.15,-49:33:10
J1637-4335,16:37:56.8,-43:35:42
J1637-4450,16:37:53.15,-44:50:26.3
J1637-4553,16:37:58.692,-45:53:26.82
J1637-46,16:37:36,-46:13
J1637-4642,16:37:13.75,-46:42:14.2
J1637-4721,16:37:11.4,-47:21:03
J1637-4816,16:37:58.68,-48:16:12
J1638+4005,16:38:16.243,+40:05:56.37
J1638-35,16:38,-35:00:00
J1638-3815,16:38:37.349,-38:15:03.4
J1638-3951,16:38:15.56,-39:51:59
J1638-4233,16:38:24.71,-42:33:55
J1638-4344,16:38:52.88,-43:44:04
J1638-44,16:38:18,-44:40
J1638-4417,16:38:46.226,-44:17:03.2
J1638-4608,16:38:23.26,-46:08:13.4
J1638-4725,16:38:12.94,-47:25:32
J1638-5226,16:38:59.96,-52:26:57.4
J1639-4359,16:39:06.85,-43:59:52
J1639-4604,16:39:21.201,-46:04:33.1
J1640+2224,16:40:16.74367442,+22:24:08.81762387
J1640-4631,16:40:43.52,-46:31:35.4
J1640-4648,16:40:47.62,-46:48:45
J1640-4715,16:40:13.09,-47:15:38.1
J1640-4951,16:40:43.56,-49:51:02.1
J1641+3627A,16:41:40.87019,+36:27:14.9788
J1641+3627B,16:41:40.39144,+36:25:58.4880
J1641+3627C,16:41:41.00748,+36:27:02.7438
J1641+3627D,16:41:42.395232,+36:27:28.2021
J1641+3627E,16:41:42.0221,+36:27:34.9676
J1641+3627F,16:41:44.6058,+36:28:16.0034
J1641+8049,16:41:20.83084772,+80:49:52.90783124
J1641-2347,16:41:18.04,-23:47:36
J1641-5317,16:41:15.91,-53:17:48.8
J1643+1338,16:43:54.140,+13:38:43.9
J1643-1224,16:43:38.16145178,-12:24:58.67846778
J1643-4505,16:43:36.91,-45:05:45.8
J1643-4522,16:43:20.40,-45:22:01
J1643-4550,16:43:13.52,-45:50:54.5
J164310,16:43,-10:00:00
J1644-33,16:44,-33:00:00
J1644-44,16:44:36,-44:10
J1644-4559,16:44:49.273,-45:59:09.71
J1644-46,16:44:06,-46:26
J1644-4657,16:44:38.5,-46:57:38
J1645+1012,16:45:34.415,+10:12:16.04
J1645-0317,16:45:02.0406,-03:17:57.819
J1646-1910,16:46:18.66,-19:10:14
J1646-2142,16:46:18.6344,-21:42:02.49
J1646-4308,16:46:55.3,-43:08:07
J1646-4346,16:46:51.3,-43:46:38
J1646-5123,16:46:36.35,-51:23:14.6
J1646-6831,16:46:54.91,-68:31:51.7
J1647+6608,16:47:32.51841528,+66:08:22.23901384
J1647-3607,16:47:46.51,-36:07:04
J1647-4552,16:47:10.20,-45:52:16.8
J1648-3256,16:48:06.070,-32:56:40.8
J1648-4458,16:48:13.0,-44:58:26
J1648-4611,16:48:22.043,-46:11:15.75
J1648-6044,16:48:51.23,-60:44:25.5
J1649+2533,16:49:44.23,25:33:07.0
J1649-3012,16:49:46.3,-30:12:21
J1649-3805,16:49:48.222,-38:05:59.1
J1649-3935,16:49:06.68,-39:35:44.2
J1649-4349,16:49:20.42,-43:49:22.2
J1649-4653,16:49:24.61,-46:53:09.3
J1649-4729,16:49:18.27,-47:29:53
J1649-5553,16:49:31.1,-55:53:40
J1650-1654,16:50:27.1694,-16:54:42.282
J1650-4126,16:50:13.174,-41:26:33.8
J1650-4341,16:50:44.68,-43:41:30.8
J1650-4502,16:50:32.30,-45:02:37.3
J1650-4601,16:50:18.62,-46:01:18.6
J1650-4921,16:50:35.109,-49:21:03.76
J1651+14,16:51:00,+14:22
J1651-1709,16:51:31.75206773,-17:09:22.11348209
J1651-4246,16:51:48.797,-42:46:09.97
J1651-4519,16:51:57.2,-45:19:11
J1651-5222,16:51:42.962,-52:22:58.38
J1651-5255,16:51:41.41,-52:55:47.7
J1651-7642,16:51:07.87,-76:42:39.5
J1652+2651,16:52:03.07,26:51:40.4
J1652-1400,16:52:16.677,-14:00:27.4
J1652-2404,16:52:58.52908271,-24:03:50.8750589
J1652-4406,16:52:59.5,-44:06:05
J1652-4838,16:52:54,-48:45
J1653-0158,16:53:38.05381,-01:58:36.8930
J1653-2054,16:53:31.03,-20:54:55.1
J1653-3838,16:53:39.798,-38:38:20.8
J1653-4030,16:53:34.23,-40:30:01.4
J1653-4105,16:53:25.374,-41:05:25.6
J1653-4249,16:53:40.22,-42:49:03.3
J1653-4315,16:53:29.7,-43:15:01
J1653-45,16:53:54,-45:17
J1653-4854,16:53:56.7,-48:54:51
J1654-23,16:54:03,-23:35
J1654-26,16:54:39,-26:36:18
J1654-2713,16:54:23.62703156,-27:13:01.57298373
J1654-3710,16:54:44.426,-37:10:57.1
J1654-4140,16:54:23.5,-41:40:24
J1654-4245,16:54:22.08,-42:45:39
J1655-3048,16:55:24.53,-30:48:42
J1655-3844,16:55:38.66,-38:44:09
J1656+00,16:56:41,+00:26
J1656+6203,16:56:10.29,+62:03:50.41
J1656-3621,16:56:32.955,-36:21:59.7
J1657+3304,16:57:50.682,+33:04:33.65
J1657-0406A,16:57:09.1,-04:06:01
J1657-0406B,16:57:09.1,-04:06:01
J1657-4432,16:57:36.73,-44:32:20
J1658+3630,16:58:26.5198,+36:30:30.095
J1658-2823,16:58:03,-28:23:04
J1658-4306,16:58:16.6,-43:06:50
J1658-47,16:58:24,-47:12
J1658-4958,16:58:54.92,-49:58:58.4
J1658-5324,16:58:39.34359,-53:24:07.003
J1659-1305,16:59:53.08677224,-13:05:08.99461945
J1659-4316,16:59:56.38,-43:16:06
J1659-4439,16:59:39.44,-44:39:01
J1659-54,16:59:23,-54:00:00
J1700-0954,17:00:03.228,-09:54:43.2
J1700-3312,17:00:52.98100671,-33:12:46.50573335
J1700-3611,17:00:49.32,-36:11:53
J1700-3919,17:00:22.27,-39:19:00.02
J1700-4012,17:00:38.55,-40:12:38.6
J1700-4422,17:00:53.67,-44:22:27
J1700-4939,17:00:22.56,-49:39:15
J1701-3006A,17:01:12.50942,-30:06:30.173
J1701-3006B,17:01:12.6677,-30:06:49.044
J1701-3006C,17:01:12.86592,-30:06:59.415
J1701-3006D,17:01:13.5631,-30:06:42.559
J1701-3006E,17:01:13.2734,-30:06:46.89
J1701-3006F,17:01:12.8222,-30:06:51.82
J1701-3006G,17:01:14.0,-30:06:42
J1701-3130,17:01:43.513,-31:30:36.7
J1701-3726,17:01:18.45,-37:26:27.2
J1701-4533,17:01:29.154,-45:33:48.7
J1701-4958,17:01:12.83,-49:58:33
J1702-3932,17:02:14.36,-39:32:40
J1702-4128,17:02:52.52,-41:28:48.2
J1702-4217,17:02:36.44,-42:17:01.2
J1702-4306,17:02:27.36,-43:06:45.1
J1702-4310,17:02:26.94,-43:10:40
J1702-4428,17:02:52.6,-44:28:03
J1703-18,17:03:26,-18:48:54
J1703-1846,17:03:51.0915,-18:46:14.845
J1703-3241,17:03:22.54059999,-32:41:48.03731694
J1703-38,17:03:26,-38:12
J1703-4442,17:03:20.59,-44:42:42
J1703-4851,17:03:54.541,-48:52:01.04
J1704-3756,17:04:57.466,-37:56:42.9
J1704-5236,17:04:40.569,-52:36:57.4
J1704-6016,17:04:14.8,-60:16:54
J1705-04,17:05,-04:41
J1705-1903,17:05:27,-19:08:04
J1705-1906,17:05:36.0991315,-19:06:38.65066471
J1705-3423,17:05:42.362,-34:23:43.1
J1705-3936,17:05:37.1,-39:36:29
J1705-3950,17:05:29.84,-39:50:59
J1705-4108,17:05:20.4,-41:08:44
J1705-4331,17:05:35.914,-43:31:13.6
J1705-6135,17:05:15.3,-61:35:15
J1706+59,17:07,+59:10
J1706-3839,17:06:21.3,-38:39:51
J1706-4310,17:06:04.51,-43:10:21
J1706-4434,17:06:23.183,-44:34:30.0
J1706-6118,17:06:09.794,-61:18:11.70
J1707+35,17:07:00,+35:56
J1707-4053,17:07:21.78,-40:53:55.1
J1707-4341,17:07:40.11,-43:41:12.0
J1707-4417,17:07:41.41,-44:17:19
J1707-4729,17:07:15.547,-47:29:34.5
J1708+02,17:08:39,+01:48:06
J1708-3426,17:08:57.79,-34:26:44.0
J1708-3506,17:08:17.62215,-35:06:22.640
J1708-3641,17:08:35.91,-36:41:21.5
J1708-3827,17:08:16.5,-38:27:36
J1708-4008,17:08:46.87,-40:08:52.44
J1708-4522,17:08:12.92,-45:22:51
J1708-52,17:08,-52:00
J1708-7539,17:08:02.5,-75:39:23
J1709+2313,17:09:05.792,23:13:27.85
J1709-1640,17:09:26.4413,-16:40:57.73
J1709-3626,17:09:45.15,-36:26:03.6
J1709-3841,17:09:15.99,-38:41:17
J1709-43,17:09:47,-43:54:43
J1709-4342,17:09:30.9,-43:42:14
J1709-4401,17:09:41.39,-44:01:11.2
J1709-4429,17:09:42.728,-44:29:08.24
J1710+4923,17:10:04.43886927,+49:23:11.47400877
J1710-2616,17:10:04.9,-26:16:35
J1710-37,17:10:30,-37:30
J1710-4148,17:10:23.75,-41:48:19
J1711-1509,17:11:55.05909728,-15:09:39.75159063
J1711-3826,17:11:44.45,-38:26:14
J1711-4322,17:11:10.561,-43:22:53.1
J1711-5350,17:11:53.13,-53:50:18.3
J1712-2715,17:12:11.71,-27:15:53
J1712-391,17:12:35,-39:43
J1712-392,17:12:35,-39:43
J1713+0747,17:13:49.53266432,+07:47:37.4756354
J1713+7810,17:13:27.07,+78:10:33.99
J1713-3844,17:13:02.3,-38:44:29
J1713-3949,17:13:28,-39:49
J1714-1054,17:14:40.122,-10:54:10.9
J1714-3810,17:14:05.74,-38:10:30.9
J1714-3830,17:14:19.8,-38:30:23
J1715+46,17:15:48,+46:03
J1715-3247,17:15:23.46,-32:47:30
J1715-3700,17:15:09.65,-37:00:04
J1715-3859,17:15:37.89,-38:59:25.1
J1715-3903,17:15:14.08,-39:02:57.10
J1715-4034,17:15:40.92,-40:34:18
J1715-4254,17:15:10.54,-42:54:54
J1716+34,17:16:08,+34:36:11
J1716-3720,17:16:11.36,-37:20:44
J1716-4005,17:16:42.06,-40:05:27
J1716-4111,17:16:44.307,-41:11:09.5
J1716-4711,17:16:01.109,-47:11:00.9
J1717+03,17:17:56,+03:11
J1717+4308A,17:17:06.49640,+43:08:03.4806
J1717-3425,17:17:20.24424568,-34:24:59.56845013
J1717-3737,17:17:15.96,-37:37:36
J1717-3847,17:17:18.4,-38:47:03
J1717-3953,17:17:25.55,-39:53:55
J1717-4043,17:17:47.91,-40:43:50
J1717-40435,17:17:02.0,-40:43:31
J1717-4054,17:17:52.36,-41:03:17.8
J1717-5800,17:17:35.65,-58:00:05.4
J1718-3714,17:18:18.59,-37:14:16
J1718-3718,17:18:10.0,-37:18:53
J1718-3825,17:18:13.565,-38:25:18.06
J1718-41,17:18:12,-41:07
J1718-4539,17:18:11.90,-45:39:15.9
J1719-1438,17:19:10.07293,-14:38:00.942
J1719-2330,17:19:36.1,-23:30:14
J1719-3458,17:19:12.141,-34:58:22.4
J1719-4006,17:19:01.722,-40:06:59.5
J1719-4302,17:19:48.77,-43:02:11.4
J1720+00,17:20:55,+00:40
J1720+2150,17:20:01.30,21:50:12.8
J1720-0212,17:20:57.269,-02:12:23.9
J1720-1633,17:20:25.20570148,-16:33:33.72683985
J1720-2446,17:20:22.46,-24:46:27
J1720-2933,17:20:34.11713247,-29:33:16.24160764
J1720-36,17:20:54,-36:53
J1720-3659,17:20:01.976,-36:59:06.5
J1721-1936,17:21:01.47980417,-19:36:50.56846869
J1721-1939,17:21:46.61,-19:39:49
J1721-2457,17:21:05.4979,-24:57:06.17
J1721-3532,17:21:32.77859881,-35:32:49.61442007
J1722+35,17:22:06,+35:18
J1722-3207,17:22:02.959,-32:07:45.3
J1722-3632,17:22:09.817,-36:32:53.3
J1722-3712,17:22:59.21,-37:12:04.50
J1722-4400,17:22:46.517,-44:00:33.2
J1723-2837,17:23:23.1856,-28:37:57.17
J1723-2852,17:23:58.2,-28:52:51
J1723-3659,17:23:07.58,-36:59:14.2
J1723-38,17:23,-38:20
J1724-3149,17:24:44.87,-31:49:04
J1724-35,17:24:43,-35:49
J1724-3505,17:24:47.89,-35:05:36
J1724-4500,17:24:25.8,-45:00:15
J1725-0732,17:25:12.281,-07:32:59.2
J1725-2852,17:25:09.9,-28:52:22
J1725-3546,17:25:42.2,-35:46:16
J1725-3848,17:25:00.1,-38:48:36
J1725-3853,17:25:27.27,-38:53:04.20
J1725-4043,17:25:41.42,-40:43:11
J1726-00,17:26:23,-00:15
J1726-31,17:26:36,-31:57
J1726-3530,17:26:07.51,-35:29:58
J1726-3635,17:26:49.61,-36:35:45.6
J1726-4006,17:26:33.37,-40:06:02
J1726-52,17:26,-52:00
J1727-1609,17:28:03,-16:11:10
J1727-2739,17:27:30.98,-27:38:53
J1727-29,17:27:19,-29:59
J1727-2946,17:27:15.09493,-29:46:36.797
J1727-2951,17:27:00.402,-29:51:40.8
J1728-0007,17:28:34.81819637,-00:07:45.00858529
J1728-3733,17:28:46.25,-37:33:8
J1728-4028,17:28:27.68,-40:28:10
J1729-2117,17:29:10.808,-21:17:28
J1730-2304,17:30:21.67046111,-23:04:31.15797424
J1730-2900,17:30:08.28,-29:00:46
J1730-3350,17:30:32.55877665,-33:50:39.43332155
J1730-3353,17:30:55.58,-33:53:38
J1730-34,17:30:06,-34:48
J1731-1847,17:31:17.609823,-18:47:32.666
J1731-3123,17:31:00.53,-31:23:43
J1731-33,17:31:48,-33:48
J1731-3322,17:31:14.31,-33:22:45
J1731-4744,17:31:42.160,-47:44:36.26
J1732-1930,17:32:20.02510488,-19:30:08.57911977
J1732-3131,17:32:33.54,-31:31:23
J1732-3426,17:32:07.18,-34:26:05
J1732-35,17:32:30,-35:05
J1732-3729,17:32:20.81,-37:29:05
J1732-4128,17:32:50.0,-41:28:48
J1732-4156,17:32:48.86,-41:56:29.6
J1732-5049,17:32:47.76707171,-50:49:00.19789868
J1733-01,17:33,-01:00:00
J1733-2228,17:33:26.43716096,-22:28:37.23476713
J1733-2533,17:33:25.86,-25:33:11
J1733-2837,17:33:33.90,-28:37:33
J1733-3030,17:33:58.89,-30:30:49
J1733-3322,17:33:55.21,-33:22:03
J1733-3716,17:33:26.7624,-37:16:55.23
J1733-4005,17:33:58.64,-40:05:39.7
J1733-5515,17:33:00.4,-55:15:40
J1734-0212,17:34:45.66014178,-02:12:39.07677209
J1734-2415,17:34:41.6,-24:15:20
J1734-2859,17:34:00.114,-28:59:53.4
J1734-3058,17:34:50.839,-30:58:41.4
J1734-3333,17:34:26.9,-33:33:20
J1735+6320,17:35:06.562,+63:20:00.06
J1735-0243,17:35:48.1,-02:43:48
J1735-0724,17:35:04.9730,-07:24:52.130
J1735-3258,17:35:56.92,-32:58:21.82
J1736+05,17:36:54,+05:48
J1736-2457,17:36:45.44,-24:57:50
J1736-2819,17:36:24.73,-28:19:42
J1736-2843,17:36:42.59,-28:43:51
J1736-3422,17:36:10.9,-34:22:19
J1736-3511,17:36:02.7,-35:11:56
J1737-0314A,17:37:35.88794,-03:14:34.775
J1737-0314B,17:37:36.1,-03:14:45
J1737-0314C,17:37:36.1,-03:14:45
J1737-0314D,17:37:36.1,-03:14:45
J1737-0314E,17:37:36.1,-03:14:45
J1737-0811,17:37:47.11235,-08:11:08.887
J1737-3102,17:37:33.73,-31:02:00.5
J1737-3137,17:37:04.29,-31:37:21
J1737-3320,17:37:10.51,-33:20:20
J1737-3555,17:37:40.039,-35:55:43.8
J1738+0333,17:38:53.9658386,+03:33:10.86667
J1738+04,17:38:25,+04:20
J1738-2330,17:38:08.8,-23:30:47
J1738-2647,17:38:05.03,-26:47:46
J1738-2736,17:38:14.628,-27:36:25.8
J1738-2955,17:38:52.12,-29:55:57.42
J1738-3107,17:38:47.4,-31:07:44
J1738-3211,17:38:54.18499225,-32:11:53.64711011
J1738-3316,17:38:34.45,-33:16:01.6
J1739+0612,17:39:17.966,+06:12:28.4
J1739-1313,17:39:57.821,-13:13:18.6
J1739-2521,17:39:32.629,-25:21:56
J1739-2903,17:39:34.292,-29:03:02.2
J1739-3023,17:39:39.79,-30:23:12.92
J1739-3049,17:39:23.22,-30:49:40
J1739-3131,17:39:24.30372559,-31:31:15.301222
J1739-3159,17:39:48.68,-31:59:49
J1739-3951,17:39:38.25,-39:52:00.3
J1740+1000,17:40:25.950,+10:00:06.3
J1740+1311,17:40:07.3455,13:11:56.69
J1740+27,17:40:30,+27:13
J1740-2540,17:40:45.32,-25:40:19
J1740-3015,17:40:33.82,-30:15:43.5
J1740-3052,17:40:50.001,-30:52:04.30
J1740-3327,17:40:25.72,-33:27:53.5
J1740-5340A,17:40:44.589,-53:40:40.9
J1740-5340B,17:40:42.63,-53:40:28.1
J1741+1351,17:41:31.14349371,+13:51:44.11373036
J1741+2758,17:41:53.51,27:58:09.0
J1741+3855,17:41:12.341,+38:55:09.90
J1741-0840,17:41:22.5629,-08:40:31.711
J1741-2019,17:41:06.87,-20:19:24
J1741-2054,17:41:57.238,-20:53:57.12
J1741-21,17:41,-21:00:00
J1741-2719,17:41:35.06,-27:19:23
J1741-2733,17:41:01.34,-27:33:51
J1741-2945,17:41:14.47,-29:45:35
J1741-3016,17:41:07.04,-30:16:31
J1741-34,17:41:54,-34:19
J1741-3927,17:41:18.079,-39:27:38.2
J1742-0203,17:42,-02:03
J1742-3321,17:42:11.6,-33:21:21
J1742-3957,17:42:04.43,-39:57:22
J1742-4616,17:42:26.10,-46:16:53.5
J1743+05,17:43:16,+05:29
J1743-0339,17:43:08.18417808,-03:39:11.48220494
J1743-1351,17:43:37.62135224,-13:51:37.96671024
J1743-2442,17:43:20.12,-24:42:55
J1743-3150,17:43:36.710,-31:50:22.7
J1743-3153,17:43:15.565,-31:53:05.3
J1743-35,17:43:06,-35:32
J1743-4212,17:43:05.223,-42:12:02.4
J1744-1134,17:44:29.40903024,-11:34:54.71866926
J1744-1610,17:44:16.534,-16:10:35.8
J1744-2335,17:44:48.47,-23:35:55
J1744-3130,17:44:05.682,-31:30:04
J1744-3922,17:44:02.675,-39:22:21.1
J1744-5337,17:44:38.92,-53:37:51
J1744-7619,17:44:00.488,-76:19:14.710
J1745+1017,17:45:33.8371,+10:17:52.523
J1745+1252,17:45:44.19,+12:52:38.3
J1745+42,17:45:48,+42:53
J1745-0129,17:45:02.06,-01:29:18.1
J1745-0952,17:45:09.1348,-09:52:39.682
J1745-2229,17:45:16.71,-22:29:14
J1745-23,17:45:30,-23:25
J1745-2758,17:45:52.248,-27:58:38.0
J1745-2900,17:45:40.1662,-29:00:29.896
J1745-2910,17:45:16,-29:10
J1745-2912,17:45:47.83043,-29:12:30.780
J1745-3040,17:45:56.316,-30:40:22.9
J1745-3812,17:45:15.42,-38:12:07.3
J1746+2245,17:46:00.84,+22:45:28.9
J1746+2540,17:46:06.87,25:40:37.5
J1746-2849,17:46:03.35736,-28:50:13.385
J1746-2850,17:46:06.6,-28:50:42
J1746-2856,17:46:49.85480,-28:56:58.990
J1746-3239,17:46:54.947,-32:39:55.8
J1747-1030,17:47:58.31,-10:30:05
J1747-2647,17:47:30.894,-26:47:14
J1747-2802,17:47:26.55,-28:02:37
J1747-2809,17:47:22.80,-28:09:15.0
J1747-2958,17:47:15.882,-29:58:01.0
J1747-4036,17:47:48.71638076,-40:36:54.79294953
J1748-1300,17:48:17.40701291,-13:00:52.08526659
J1748-2021A,17:48:52.689,-20:21:39.7
J1748-2021B,17:48:52.95290,-20:21:38.86
J1748-2021C,17:48:51.17320,-20:21:53.81
J1748-2021D,17:48:51.64665,-20:21:07.414
J1748-2021E,17:48:52.80040,-20:21:29.38
J1748-2021F,17:48:52.3339,-20:21:39.33
J1748-2444,17:48:48.51190034,-24:44:36.96552698
J1748-2446A,17:48:02.255,-24:46:36.9
J1748-2446C,17:48:04.54,-24:46:36
J1748-2446D,17:48:04.8,-24:46:45
J1748-2446E,17:48:04.8,-24:46:45
J1748-2446F,17:48:04.8,-24:46:45
J1748-2446G,17:48:04.8,-24:46:45
J1748-2446H,17:48:04.8,-24:46:45
J1748-2446I,17:48:04.8,-24:46:45
J1748-2446J,17:48:04.8,-24:46:45
J1748-2446K,17:48:04.8,-24:46:45
J1748-2446L,17:48:04.8,-24:46:45
J1748-2446M,17:48:04.8,-24:46:45
J1748-2446N,17:48:04.8,-24:46:45
J1748-2446O,17:48:04.8,-24:46:45
J1748-2446P,17:48:04.8,-24:46:45
J1748-2446Q,17:48:04.8,-24:46:45
J1748-2446R,17:48:04.8,-24:46:45
J1748-2446S,17:48:04.8,-24:46:45
J1748-2446T,17:48:04.8,-24:46:45
J1748-2446U,17:48:04.8,-24:46:45
J1748-2446V,17:48:04.8,-24:46:45
J1748-2446W,17:48:04.8,-24:46:45
J1748-2446X,17:48:04.8,-24:46:45
J1748-2446Y,17:48:04.8,-24:46:45
J1748-2446Z,17:48:04.8,-24:46:45
J1748-2446aa,17:48:04.8,-24:46:45
J1748-2446ab,17:48:04.8,-24:46:45
J1748-2446ac,17:48:04.8,-24:46:45
J1748-2446ad,17:48:04.8,-24:46:45
J1748-2446ae,17:48:04.8,-24:46:45
J1748-2446af,17:48:04.8,-24:46:45
J1748-2446ag,17:48:04.8,-24:46:45
J1748-2446ah,17:48:04.8,-24:46:45
J1748-2446ai,17:48:04.8,-24:46:45
J1748-2446aj,17:48:05.0119,-24:46:34.85
J1748-2446ak,17:48:03.6860,-24:46:37.83
J1748-2446al,17:48,-24:46
J1748-2446am,17:48:04.8235,-24:46:47.21
J1748-2446an,17:48:05.65898,-24:46:42.03
J1748-30,17:48,-30:17
J1748-3009,17:48:23.7582,-30:09:11.28
J1749+16,17:49:29,+16:24
J1749+5952,17:49:33.228,+59:52:36.13
J1749-2146,17:49:21.241,-21:46:31
J1749-2347,17:49:15.61,-23:47:17
J1749-2629,17:49:11.28,-26:29:10
J1749-3002,17:49:13.49259546,-30:02:34.92462301
J1749-4931,17:49:23.77,-49:31:59
J1749-5417,17:49:47.06,-54:17:30.7
J1749-5605,17:49:44.5,-56:05:19
J1750+07,17:50:40,+07:33
J1750-2043,17:50:18.4,-20:43:08
J1750-2438,17:50:59.787,-24:38:58
J1750-2444,17:50:22.96,-24:44:47
J1750-2536,17:50:33.39,-25:36:43
J1750-28,17:50:04.0,-28:45
J1750-3157,17:50:47.3182536,-31:57:44.14087891
J1750-3503,17:50:44.501,-35:03:08.9
J1750-3703A,17:50:13.8016,-37:03:10.95
J1750-3703B,17:50:12.1770,-37:03:22.93
J1750-3703C,17:50:13.4541,-37:03:05.58
J1750-3703D,17:50:13.0969,-37:03:06.368
J1751-2516,17:51:52.63,-25:16:43
J1751-2737,17:51:12.65,-27:37:19.8
J1751-2857,17:51:32.693197,-28:57:46.520
J1751-3323,17:51:32.725,-33:23:39.6
J1751-4657,17:51:42.196,-46:57:26.53
J1752+2359,17:52:35.42,23:59:48.2
J1752-2410,17:52:58.742,-24:10:26
J1752-2806,17:52:58.6896,-28:06:37.3
J1752-2821,17:52:24.55,-28:21:10
J1753-12,17:52:53,-12:59
J1753-1914,17:53:35.171,-19:14:58
J1753-2240,17:53:39.847,-22:40:42
J1753-2501,17:53:30.61861352,-25:00:25.1936892
J1753-28,17:53:06,-28:53
J1753-2819,17:53:56.1837,-28:19:30.03
J1753-38,17:53,-38:49
J1754+0032,17:54:52,+00:36:33
J1754+5201,17:54:22.9068,+52:01:12.244
J1754-2422,17:54:36.56,-24:22:24
J1754-3014,17:54:30.181,-30:15:03
J1754-3443,17:54:37.372,-34:43:53.9
J1754-3510,17:54:54.616,-35:10:43.0
J1755-0903,17:55:10.364,-09:03:51.6
J1755-1650,17:55:11.648,-16:50:41
J1755-2025,17:55:35.801,-20:25:00
J1755-2521,17:55:59.71,-25:21:27
J1755-25211,17:55:19.31,-25:21:09
J1755-2534,17:55:49.82,-25:34:39
J1755-2550,17:55:38.400,-25:50:22.0
J1755-26,17:55:16.29,-26:00
J1755-2725,17:55:41.88,-27:25:45
J1755-33,17:55:12,-33:31
J1755-3716,17:55:35.4462,-37:16:10.78
J1756+1822,17:56:17.583,18:22:55.3
J1756-2225,17:56:25.56,-22:25:48
J1756-2251,17:56:46.633812,-22:51:59.35
J1756-2435,17:56:57.91300413,-24:35:34.31110814
J1756-25,17:56:42,-25:28
J1756-2619,17:57:19.39,-26:19:08
J1757-1500,17:57:12.752,-15:00:28.5
